Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2024.12.10_07.57.26,2024-12-10,07:57:26,-90.168169,29.956878,X,5G,5G NSA,-110,-12,0.0,1,0,10id,1
2024.12.10_07.57.26,2024-12-10,07:57:26,-90.168155,29.956869,X,5G,5G NSA,-110,-12,0.0,1,0,10id,1
2024.12.10_07.57.27,2024-12-10,07:57:27,-90.168155,29.956869,X,5G,5G NSA,-110,-12,0.0,115,104,10id,1
2024.12.10_07.57.28,2024-12-10,07:57:28,-90.168155,29.956869,X,5G,5G NSA,-110,-12,0.0,6263,414,10id,1
2024.12.10_07.57.29,2024-12-10,07:57:29,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,160,244,10id,1
2024.12.10_07.57.30,2024-12-10,07:57:30,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,1291,431,10id,1
2024.12.10_07.57.31,2024-12-10,07:57:31,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,1233,134,10id,1
2024.12.10_07.57.32,2024-12-10,07:57:32,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,305,11,10id,1
2024.12.10_07.57.33,2024-12-10,07:57:33,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,687,264,10id,1
2024.12.10_07.57.34,2024-12-10,07:57:34,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,59,13,10id,1
2024.12.10_07.57.35,2024-12-10,07:57:35,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,14,9,10id,1
2024.12.10_07.57.36,2024-12-10,07:57:36,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,0,0,10id,1
2024.12.10_07.57.37,2024-12-10,07:57:37,-90.168155,29.956869,X,5G,5G NSA,-102,-12,6.0,0,0,10id,1
2024.12.10_07.57.38,2024-12-10,07:57:38,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,0,0,10id,1
2024.12.10_07.57.39,2024-12-10,07:57:39,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,345,87,10id,1
2024.12.10_07.57.40,2024-12-10,07:57:40,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,19,1,10id,1
2024.12.10_07.57.41,2024-12-10,07:57:41,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,0,0,10id,1
2024.12.10_07.57.42,2024-12-10,07:57:42,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,0,0,10id,1
2024.12.10_07.57.43,2024-12-10,07:57:43,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,0,7,10id,1
2024.12.10_07.57.44,2024-12-10,07:57:44,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,323,78,10id,1
2024.12.10_07.57.45,2024-12-10,07:57:45,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,1271,128,10id,1
2024.12.10_07.57.46,2024-12-10,07:57:46,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,3796,44,10id,1
2024.12.10_07.57.47,2024-12-10,07:57:47,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,2668,121,10id,1
2024.12.10_07.57.48,2024-12-10,07:57:48,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,1856,457,10id,1
2024.12.10_07.57.49,2024-12-10,07:57:49,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,1721,369,10id,1
2024.12.10_07.57.50,2024-12-10,07:57:50,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,14290,266,10id,1
2024.12.10_07.57.51,2024-12-10,07:57:51,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,19205,265,10id,1
2024.12.10_07.57.52,2024-12-10,07:57:52,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,34693,247,10id,1
2024.12.10_07.57.53,2024-12-10,07:57:53,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,7784,69,10id,1
2024.12.10_07.57.54,2024-12-10,07:57:54,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,13,42,10id,1
2024.12.10_07.57.55,2024-12-10,07:57:55,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,3,5,10id,1
2024.12.10_07.57.56,2024-12-10,07:57:56,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,6,6,10id,1
2024.12.10_07.57.57,2024-12-10,07:57:57,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,27990,221,10id,1
2024.12.10_07.57.58,2024-12-10,07:57:58,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,11,10,10id,1
2024.12.10_07.57.59,2024-12-10,07:57:59,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,103,46,10id,1
2024.12.10_07.58.00,2024-12-10,07:58:00,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,79,29,10id,1
2024.12.10_07.58.01,2024-12-10,07:58:01,-90.168155,29.956869,X,5G,5G NSA,-109,-14,4.0,49,32,10id,1
2024.12.10_07.58.02,2024-12-10,07:58:02,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,23669,195,10id,1
2024.12.10_07.58.03,2024-12-10,07:58:03,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,16604,170,10id,1
2024.12.10_07.58.04,2024-12-10,07:58:04,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,27368,188,10id,1
2024.12.10_07.58.05,2024-12-10,07:58:05,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,8628,63,10id,1
2024.12.10_07.58.06,2024-12-10,07:58:06,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,25682,183,10id,1
2024.12.10_07.58.07,2024-12-10,07:58:07,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,10320,75,10id,1
2024.12.10_07.58.08,2024-12-10,07:58:08,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,21888,132,10id,1
2024.12.10_07.58.09,2024-12-10,07:58:09,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,9111,185,10id,1
2024.12.10_07.58.10,2024-12-10,07:58:10,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,88,32,10id,1
2024.12.10_07.58.11,2024-12-10,07:58:11,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,78,28,10id,1
2024.12.10_07.58.12,2024-12-10,07:58:12,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,3,6,10id,1
2024.12.10_07.58.13,2024-12-10,07:58:13,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,39546,261,10id,1
2024.12.10_07.58.14,2024-12-10,07:58:14,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.15,2024-12-10,07:58:15,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.16,2024-12-10,07:58:16,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.17,2024-12-10,07:58:17,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,39531,256,10id,1
