Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2025.05.17_21.01.27,2025-05-17,21:01:27,-90.168119,29.956888,Y,4G,LTE,-113,-16,-4.0,4,8,vi16,1
2025.05.17_21.01.27,2025-05-17,21:01:27,-90.168119,29.956888,Y,4G,LTE,-113,-16,-4.0,0,0,vi16,1
2025.05.17_21.01.28,2025-05-17,21:01:28,-90.168119,29.956888,Y,4G,LTE,-116,-17,-4.0,0,0,vi16,1
2025.05.17_21.01.29,2025-05-17,21:01:29,-90.168119,29.956888,Y,4G,LTE,-116,-17,-4.0,0,0,vi16,1
2025.05.17_21.01.30,2025-05-17,21:01:30,-90.168119,29.956888,Y,4G,LTE,-117,-18,-4.0,3,24,vi16,1
2025.05.17_21.01.31,2025-05-17,21:01:31,-90.168119,29.956888,Y,5G,5G NSA,-111,-15,0.0,71,53,vi16,1
2025.05.17_21.01.31,2025-05-17,21:01:31,-90.168119,29.956888,Y,5G,5G NSA,-111,-15,0.0,71,53,vi16,1
2025.05.17_21.01.32,2025-05-17,21:01:32,-90.168119,29.956888,Y,5G,5G NSA,-111,-15,-3.0,0,0,vi16,1
2025.05.17_21.01.33,2025-05-17,21:01:33,-90.168119,29.956888,Y,5G,5G NSA,-111,-15,-3.0,12,1,vi16,1
2025.05.17_21.01.34,2025-05-17,21:01:34,-90.168119,29.956888,Y,5G,5G NSA,-113,-15,-1.0,2,4,vi16,1
2025.05.17_21.01.35,2025-05-17,21:01:35,-90.168119,29.956888,Y,5G,5G NSA,-113,-15,-1.0,0,0,vi16,1
2025.05.17_21.01.36,2025-05-17,21:01:36,-90.168119,29.956888,Y,5G,5G NSA,-113,-15,-1.0,98,45,vi16,1
2025.05.17_21.01.37,2025-05-17,21:01:37,-90.168119,29.956888,Y,5G,5G NSA,-107,-13,3.0,0,0,vi16,1
2025.05.17_21.01.38,2025-05-17,21:01:38,-90.168119,29.956888,Y,5G,5G NSA,-107,-13,3.0,0,0,vi16,1
2025.05.17_21.01.39,2025-05-17,21:01:39,-90.168119,29.956888,Y,5G,5G NSA,-107,-13,3.0,73,93,vi16,1
2025.05.17_21.01.40,2025-05-17,21:01:40,-90.168119,29.956888,Y,5G,5G NSA,-106,-13,6.0,0,12,vi16,1
2025.05.17_21.01.41,2025-05-17,21:01:41,-90.168119,29.956888,Y,5G,5G NSA,-106,-13,6.0,10,1,vi16,1
2025.05.17_21.01.42,2025-05-17,21:01:42,-90.168119,29.956888,Y,5G,5G NSA,-106,-13,6.0,923,246,vi16,1
2025.05.17_21.01.43,2025-05-17,21:01:43,-90.168119,29.956888,Y,5G,5G NSA,-108,-14,4.0,1072,606,vi16,1
2025.05.17_21.01.44,2025-05-17,21:01:44,-90.168119,29.956888,Y,5G,5G NSA,-108,-14,4.0,654,315,vi16,1
2025.05.17_21.01.45,2025-05-17,21:01:45,-90.168119,29.956888,Y,5G,5G NSA,-108,-14,4.0,12108,188,vi16,1
2025.05.17_21.01.46,2025-05-17,21:01:46,-90.168119,29.956888,Y,5G,5G NSA,-106,-13,2.0,2822,23,vi16,1
2025.05.17_21.01.47,2025-05-17,21:01:47,-90.168119,29.956888,Y,5G,5G NSA,-106,-13,2.0,0,183,vi16,1
2025.05.17_21.01.48,2025-05-17,21:01:48,-90.168052,29.956726,Y,5G,5G NSA,-106,-13,2.0,0,183,vi16,1
2025.05.17_21.01.48,2025-05-17,21:01:48,-90.168052,29.956726,Y,5G,5G NSA,-106,-13,2.0,0,60,vi16,1
2025.05.17_21.01.49,2025-05-17,21:01:49,-90.168052,29.956726,Y,5G,5G NSA,-112,-16,2.0,0,38,vi16,1
