Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,Operatorname,SourceFile
2025.01.18_17.38.18,-90.168199,29.95705,5G,5G NSA,-99,-13,0.0,0,X,18ma
2025.01.18_17.38.18,-90.168199,29.95705,5G,5G NSA,-99,-13,0.0,31,X,18ma
2025.01.18_17.38.19,-90.168199,29.95705,5G,5G NSA,-99,-13,0.0,107,X,18ma
2025.01.18_17.38.20,-90.168199,29.95705,5G,5G NSA,-99,-13,0.0,160,X,18ma
2025.01.18_17.38.21,-90.168199,29.95705,5G,5G NSA,-99,-13,0.0,333,X,18ma
2025.01.18_17.38.22,-90.168199,29.95705,5G,5G NSA,-99,-13,0.0,490,X,18ma
2025.01.18_17.38.23,-90.168199,29.95705,5G,5G NSA,-95,-11,11.0,1268,X,18ma
2025.01.18_17.38.24,-90.168199,29.95705,5G,5G NSA,-95,-11,11.0,463,X,18ma
2025.01.18_17.38.25,-90.168199,29.95705,5G,5G NSA,-95,-11,11.0,637,X,18ma
2025.01.18_17.38.26,-90.168199,29.95705,5G,5G NSA,-95,-11,11.0,12,X,18ma
2025.01.18_17.38.27,-90.168199,29.95705,5G,5G NSA,-95,-11,11.0,54,X,18ma
2025.01.18_17.38.28,-90.168199,29.95705,5G,5G NSA,-95,-11,11.0,0,X,18ma
2025.01.18_17.38.29,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,0,X,18ma
2025.01.18_17.38.30,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,4,X,18ma
2025.01.18_17.38.31,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,371,X,18ma
2025.01.18_17.38.32,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,1,X,18ma
2025.01.18_17.38.33,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,0,X,18ma
2025.01.18_17.38.34,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,113,X,18ma
2025.01.18_17.38.35,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,959,X,18ma
2025.01.18_17.38.36,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,1677,X,18ma
2025.01.18_17.38.38,-90.168199,29.95705,5G,5G NSA,-96,-11,10.0,40333,X,18ma
2025.01.18_17.38.38,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,53980,X,18ma
2025.01.18_17.38.39,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,4,X,18ma
2025.01.18_17.38.40,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,22577,X,18ma
2025.01.18_17.38.42,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,3,X,18ma
2025.01.18_17.38.42,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,35999,X,18ma
2025.01.18_17.38.43,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,35988,X,18ma
2025.01.18_17.38.44,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,7,X,18ma
2025.01.18_17.38.45,-90.168199,29.95705,5G,5G NSA,-97,-11,10.0,36000,X,18ma
2025.01.18_17.38.46,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,7,X,18ma
2025.01.18_17.38.46,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,7,X,18ma
2025.01.18_17.38.48,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,33884,X,18ma
2025.01.18_17.38.48,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,2122,X,18ma
2025.01.18_17.38.50,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,16420,X,18ma
2025.01.18_17.38.51,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,39571,X,18ma
2025.01.18_17.38.52,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,23038,X,18ma
2025.01.18_17.38.53,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,4,X,18ma
2025.01.18_17.38.54,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,38336,X,18ma
2025.01.18_17.38.55,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,6,X,18ma
2025.01.18_17.38.56,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,4,X,18ma
2025.01.18_17.38.57,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,36011,X,18ma
2025.01.18_17.38.58,-90.168264,29.957124,5G,5G NSA,-97,-11,10.0,3,X,18ma
2025.01.18_17.38.59,-90.168264,29.957124,5G,5G NSA,-100,-12,10.0,3,X,18ma
