Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2024.12.08_13.06.00,2024-12-08,13:06:00,-90.16818,29.956996,X,5G,5G NSA,-99,-13,13.0,1,0,8md,1
2024.12.08_13.06.00,2024-12-08,13:06:00,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,1,0,8md,1
2024.12.08_13.06.00,2024-12-08,13:06:00,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,0,0,8md,1
2024.12.08_13.06.01,2024-12-08,13:06:01,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,3118,79,8md,1
2024.12.08_13.06.02,2024-12-08,13:06:02,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,91,39,8md,1
2024.12.08_13.06.03,2024-12-08,13:06:03,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,10,1,8md,1
2024.12.08_13.06.04,2024-12-08,13:06:04,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,152,55,8md,1
2024.12.08_13.06.05,2024-12-08,13:06:05,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,58,8,8md,1
2024.12.08_13.06.06,2024-12-08,13:06:06,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,0,0,8md,1
2024.12.08_13.06.07,2024-12-08,13:06:07,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,337,142,8md,1
2024.12.08_13.06.08,2024-12-08,13:06:08,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,91,36,8md,1
2024.12.08_13.06.09,2024-12-08,13:06:09,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,15,3,8md,1
2024.12.08_13.06.10,2024-12-08,13:06:10,-90.168231,29.957028,X,5G,5G NSA,-99,-13,13.0,0,0,8md,1
2024.12.08_13.06.11,2024-12-08,13:06:11,-90.168231,29.957028,X,5G,5G NSA,-104,-12,13.0,0,0,8md,1
2024.12.08_13.06.12,2024-12-08,13:06:12,-90.168231,29.957028,X,5G,5G NSA,-104,-12,13.0,0,0,8md,1
2024.12.08_13.06.13,2024-12-08,13:06:13,-90.168231,29.957028,X,5G,5G NSA,-104,-12,13.0,0,0,8md,1
2024.12.08_13.06.14,2024-12-08,13:06:14,-90.168231,29.957028,X,5G,5G NSA,-104,-12,13.0,0,0,8md,1
2024.12.08_13.06.15,2024-12-08,13:06:15,-90.168231,29.957028,X,5G,5G NSA,-104,-12,13.0,0,0,8md,1
2024.12.08_13.06.16,2024-12-08,13:06:16,-90.168231,29.957028,X,4G,LTE,-100,-15,2.0,0,0,8md,1
2024.12.08_13.06.17,2024-12-08,13:06:17,-90.168231,29.957028,X,4G,LTE,-100,-15,2.0,0,0,8md,1
2024.12.08_13.06.18,2024-12-08,13:06:18,-90.168231,29.957028,X,5G,5G NSA,-93,-11,13.0,236,114,8md,1
2024.12.08_13.06.19,2024-12-08,13:06:19,-90.168231,29.957028,X,5G,5G NSA,-93,-11,13.0,795,165,8md,1
2024.12.08_13.06.21,2024-12-08,13:06:21,-90.168231,29.957028,X,5G,5G NSA,-93,-11,13.0,1757,615,8md,1
