Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2025.05.18_14.25.17,2025-05-18,14:25:17,-90.169711,29.960774,Y,4G,LTE,-102,-11,5.0,5,1,vm2,1
2025.05.18_14.25.18,2025-05-18,14:25:18,-90.169711,29.960774,Y,4G,LTE,-102,-11,5.0,91,124,vm2,1
2025.05.18_14.25.19,2025-05-18,14:25:19,-90.169711,29.960774,Y,4G,LTE,-103,-11,5.0,89,126,vm2,1
2025.05.18_14.25.20,2025-05-18,14:25:20,-90.169711,29.960774,Y,4G,LTE,-103,-11,5.0,31,113,vm2,1
2025.05.18_14.25.21,2025-05-18,14:25:21,-90.169711,29.960774,Y,4G,LTE,-103,-12,5.0,529,333,vm2,1
2025.05.18_14.25.22,2025-05-18,14:25:22,-90.169711,29.960774,Y,4G,LTE,-103,-12,5.0,18,25,vm2,1
2025.05.18_14.25.23,2025-05-18,14:25:23,-90.169711,29.960774,Y,4G,LTE,-103,-11,5.0,0,0,vm2,1
2025.05.18_14.25.24,2025-05-18,14:25:24,-90.169711,29.960774,Y,4G,LTE,-103,-11,5.0,0,0,vm2,1
2025.05.18_14.25.25,2025-05-18,14:25:25,-90.169711,29.960774,Y,4G,LTE,-103,-11,5.0,0,0,vm2,1
2025.05.18_14.25.26,2025-05-18,14:25:26,-90.169711,29.960774,Y,4G,LTE,-103,-11,5.0,0,0,vm2,1
2025.05.18_14.25.27,2025-05-18,14:25:27,-90.169711,29.960774,Y,4G,LTE,-101,-12,5.0,0,0,vm2,1
2025.05.18_14.25.28,2025-05-18,14:25:28,-90.169711,29.960774,Y,4G,LTE,-101,-12,5.0,0,0,vm2,1
2025.05.18_14.25.29,2025-05-18,14:25:29,-90.169711,29.960774,Y,4G,LTE,-101,-11,5.0,0,0,vm2,1
2025.05.18_14.25.30,2025-05-18,14:25:30,-90.169711,29.960774,Y,4G,LTE,-101,-11,5.0,259,70,vm2,1
2025.05.18_14.25.31,2025-05-18,14:25:31,-90.169711,29.960774,Y,4G,LTE,-106,-13,5.0,0,10,vm2,1
2025.05.18_14.25.32,2025-05-18,14:25:32,-90.169711,29.960774,Y,4G,LTE,-106,-13,5.0,0,0,vm2,1
2025.05.18_14.25.33,2025-05-18,14:25:33,-90.169711,29.960774,Y,4G,LTE,-109,-13,5.0,6,1,vm2,1
2025.05.18_14.25.34,2025-05-18,14:25:34,-90.169711,29.960774,Y,4G,LTE,-109,-13,5.0,0,0,vm2,1
2025.05.18_14.25.35,2025-05-18,14:25:35,-90.169711,29.960774,Y,4G,LTE,-113,-13,3.0,0,0,vm2,1
2025.05.18_14.25.36,2025-05-18,14:25:36,-90.169711,29.960774,Y,4G,LTE,-113,-13,3.0,0,0,vm2,1
2025.05.18_14.25.37,2025-05-18,14:25:37,-90.169711,29.960774,Y,4G,LTE,-109,-13,3.0,2,1,vm2,1
2025.05.18_14.25.38,2025-05-18,14:25:38,-90.169711,29.960774,Y,4G,LTE,-109,-13,3.0,0,0,vm2,1
2025.05.18_14.25.39,2025-05-18,14:25:39,-90.169711,29.960774,Y,4G,LTE,-103,-13,3.0,0,0,vm2,1
2025.05.18_14.25.40,2025-05-18,14:25:40,-90.169711,29.960774,Y,4G,LTE,-103,-13,3.0,0,0,vm2,1
2025.05.18_14.25.41,2025-05-18,14:25:41,-90.169711,29.960774,Y,4G,LTE,-100,-13,2.0,0,0,vm2,1
2025.05.18_14.25.42,2025-05-18,14:25:42,-90.169711,29.960774,Y,4G,LTE,-100,-13,2.0,0,0,vm2,1
2025.05.18_14.25.43,2025-05-18,14:25:43,-90.169711,29.960774,Y,4G,LTE,-102,-14,2.0,0,0,vm2,1
2025.05.18_14.25.44,2025-05-18,14:25:44,-90.169711,29.960774,Y,4G,LTE,-102,-14,4.0,0,0,vm2,1
2025.05.18_14.25.45,2025-05-18,14:25:45,-90.169711,29.960774,Y,4G,LTE,-99,-11,4.0,0,0,vm2,1
2025.05.18_14.25.46,2025-05-18,14:25:46,-90.169711,29.960774,Y,4G,LTE,-99,-11,4.0,0,0,vm2,1
2025.05.18_14.25.47,2025-05-18,14:25:47,-90.169711,29.960774,Y,4G,LTE,-96,-10,4.0,0,0,vm2,1
2025.05.18_14.25.48,2025-05-18,14:25:48,-90.169711,29.960774,Y,4G,LTE,-96,-10,4.0,0,0,vm2,1
2025.05.18_14.25.49,2025-05-18,14:25:49,-90.169711,29.960774,Y,4G,LTE,-100,-12,4.0,0,0,vm2,1
2025.05.18_14.25.50,2025-05-18,14:25:50,-90.169711,29.960774,Y,4G,LTE,-100,-12,4.0,0,0,vm2,1
2025.05.18_14.25.51,2025-05-18,14:25:51,-90.169711,29.960774,Y,4G,LTE,-102,-10,4.0,0,0,vm2,1
2025.05.18_14.25.52,2025-05-18,14:25:52,-90.169711,29.960774,Y,4G,LTE,-102,-10,7.0,0,0,vm2,1
2025.05.18_14.25.53,2025-05-18,14:25:53,-90.169711,29.960774,Y,4G,LTE,-109,-10,7.0,0,0,vm2,1
2025.05.18_14.25.54,2025-05-18,14:25:54,-90.169711,29.960774,Y,4G,LTE,-109,-10,7.0,2,1,vm2,1
2025.05.18_14.25.55,2025-05-18,14:25:55,-90.169637,29.960709,Y,4G,LTE,-109,-10,7.0,2,1,vm2,1
2025.05.18_14.25.55,2025-05-18,14:25:55,-90.169637,29.960709,Y,4G,LTE,-109,-12,7.0,0,0,vm2,1
2025.05.18_14.25.56,2025-05-18,14:25:56,-90.169637,29.960709,Y,4G,LTE,-109,-12,3.0,0,0,vm2,1
2025.05.18_14.25.57,2025-05-18,14:25:57,-90.169637,29.960709,Y,4G,LTE,-109,-14,3.0,0,0,vm2,1
2025.05.18_14.25.58,2025-05-18,14:25:58,-90.169637,29.960709,Y,4G,LTE,-109,-14,3.0,0,0,vm2,1
2025.05.18_14.25.59,2025-05-18,14:25:59,-90.169637,29.960709,Y,4G,LTE,-108,-13,3.0,0,0,vm2,1
2025.05.18_14.26.00,2025-05-18,14:26:00,-90.169637,29.960709,Y,4G,LTE,-108,-13,3.0,0,0,vm2,1
2025.05.18_14.26.01,2025-05-18,14:26:01,-90.169637,29.960709,Y,4G,LTE,-104,-15,3.0,0,0,vm2,1
2025.05.18_14.26.02,2025-05-18,14:26:02,-90.169637,29.960709,Y,4G,LTE,-104,-15,1.0,0,0,vm2,1
2025.05.18_14.26.03,2025-05-18,14:26:03,-90.169637,29.960709,Y,4G,LTE,-101,-13,1.0,0,0,vm2,1
2025.05.18_14.26.04,2025-05-18,14:26:04,-90.169637,29.960709,Y,4G,LTE,-101,-13,1.0,2,6,vm2,1
2025.05.18_14.26.05,2025-05-18,14:26:05,-90.169637,29.960709,Y,4G,LTE,-102,-13,1.0,0,0,vm2,1
2025.05.18_14.26.06,2025-05-18,14:26:06,-90.169637,29.960709,Y,4G,LTE,-102,-13,1.0,0,0,vm2,1
